"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,18.65,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,18.425,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,19.175,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,19.35,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,19.6,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,19.925,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,20.225,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,20.45,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,20.475,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,20.825,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,21.075,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,21.175,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,21.425,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,23.1,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,22.2,,
"ESP","Spain","LRIN64MA","Inactivity rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,21.825,,
