"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PC","Percentage","0","Units",,,6.351492,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.408844,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PC","Percentage","0","Units",,,10.05166,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PC","Percentage","0","Units",,,17.64725,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PC","Percentage","0","Units",,,19.5675,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PC","Percentage","0","Units",,,21.04477,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PC","Percentage","0","Units",,,24.58285,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PC","Percentage","0","Units",,,25.59886,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PC","Percentage","0","Units",,,23.60262,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PC","Percentage","0","Units",,,20.77344,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2016","2016","PC","Percentage","0","Units",,,18.11877,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2017","2017","PC","Percentage","0","Units",,,15.65924,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2018","2018","PC","Percentage","0","Units",,,13.72227,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,12.44961,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,13.87082,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,13.0556,,
"ESP","Spain","LRUNTTMA","Unemployment rate, Aged 15 and over, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,11.27128,,
